id,loan_freq,total_interest_amount,monthly_payment,achievement,volentary_saving,fee_charge,Benefit_gain,no_new_members_by
1001,NULL,NULL,5000,72000,0,242,0,NULL
1002,3,17500,5000,132525,0,1400,23625,2
1003,2,17250,5000,121500,0,650,15250,NULL
1004,NULL,NULL,3000,44500,0,0,0,NULL
1005,1,2250,5000,48500,0,892,15250,NULL
1006,3,17350,5000,122000,0,650,15350,NULL
1007,1,2250,5000,46500,0,0,2250,NULL
1008,1,2250,4000,111000,0,650,15250,4
1009,NULL,NULL,4000,46500,0,0,0,NULL
1010,2,3250,5000,103000,0,4400,20250,NULL
1011,2,6000,5000,46500,0,700,2250,NULL
1012,NULL,NULL,5000,120500,0,200,5825,2
1013,1,2250,4000,83000,0,937,9250,NULL
1014,2,2500,5000,84000,0,1250,2500,NULL
1015,NULL,NULL,4000,62000,0,2000,0,NULL
1016,NULL,NULL,3000,43000,0,2000,0,NULL
1017,1,2250,3000,43000,0,2400,5850,1
1019,NULL,NULL,3000,42000,0,2000,0,NULL
1020,NULL,NULL,1000,11000,0,2000,0,NULL
1021,NULL,NULL,2000,2000,0,2000,0,NULL
1022,NULL,NULL,3000,2000,0,2000,0,NULL
1023,1,2250,3000,42000,0,2000,2250,NULL
1024,NULL,NULL,3000,99000,0,2000,0,NULL
